jd,wd,type
104.04306,30.70342,0
104.11479,30.65517,1
104.08225,30.65393,67
104.06154,30.65356,40
104.08145,30.65696,17
104.07347,30.65474,2
104.04336,30.72296,6
104.11484,30.65506,1
104.12901,30.71536,34
104.04293,30.70024,53
104.09896,30.65477,23
104.04237,30.66535,9
104.08708,30.65406,18
104.07538,30.65374,31
104.12874,30.7217,52
104.07325,30.69456,55
104.06023,30.65336,24
104.09873,30.65439,23
104.06964,30.65358,37
104.04259,30.66524,9
104.07291,30.65487,2
104.04304,30.70386,0
104.07356,30.68582,70
104.04334,30.72295,6
104.08708,30.65406,18
104.08147,30.65699,17
104.09034,30.65432,63
104.04243,30.66532,9
104.08114,30.65649,17
104.11208,30.66698,33
104.07519,30.65383,31
104.06178,30.6534,40
104.12934,30.68323,50
104.07175,30.65383,30
104.09878,30.65447,23
104.12946,30.65906,26
104.04248,30.6653,9
104.09751,30.67424,15
104.07386,30.65445,2
104.12881,30.71542,34
104.04312,30.71046,7
104.05134,30.70195,46
104.08695,30.65412,18
104.1293,30.66861,43
104.10319,30.67015,16
104.04311,30.69294,29
104.04769,30.72742,21
104.04307,30.70382,0
104.08703,30.65408,18
104.12905,30.71535,34
104.11078,30.65493,73
104.11479,30.65554,1
104.07532,30.72707,19
104.04254,30.67542,5
104.04275,30.6845,3
104.12944,30.65905,26
104.06745,30.71228,13
104.04298,30.70393,0
104.06016,30.65339,24
104.04292,30.69292,29
104.08791,30.65412,42
104.07208,30.65372,30
104.04756,30.72752,21
104.04321,30.70357,0
104.0425,30.67543,5
104.12894,30.71538,34
104.06212,30.72307,61
104.04354,30.72309,6
104.10433,30.66938,16
104.08164,30.65728,17
104.04332,30.71614,36
104.10852,30.72662,12
104.04286,30.69288,29
104.0974,30.67443,15
104.09743,30.65436,48
104.06176,30.65342,40
104.06593,30.65356,22
104.10657,30.65458,27
104.05258,30.65312,56
104.04371,30.72323,6
104.04332,30.72293,6
104.06593,30.65348,22
104.05218,30.68488,79
104.0475,30.72745,21
104.08143,30.65693,17
104.1085,30.72656,12
104.05269,30.65327,56
104.07328,30.68613,70
104.04295,30.70397,0
104.06066,30.65796,11
104.04319,30.71601,36
104.12907,30.65888,26
104.12925,30.68314,50
104.11078,30.65475,73
104.1288,30.71542,34
104.0606,30.65756,11
104.04295,30.69294,29
104.0562,30.66307,51
104.04769,30.72741,21
104.0427,30.68106,49
104.07207,30.65364,30
104.04225,30.65852,32
104.08709,30.65406,18
104.07444,30.65417,31
104.0818,30.65767,17
104.04363,30.68398,3
104.12935,30.66864,43
104.10335,30.66976,16
104.08704,30.65408,18
104.06976,30.65363,37
104.11496,30.65497,1
104.08015,30.65512,17
104.06593,30.6535,22
104.0562,30.66311,51
104.11886,30.65492,59
104.04234,30.66537,9
104.04297,30.70394,0
104.10379,30.66921,16
104.12596,30.67105,82
104.07207,30.6537,30
104.07288,30.65502,2
104.04279,30.69283,29
104.08799,30.65423,42
104.06026,30.65341,24
104.04299,30.69279,29
104.05258,30.65312,56
104.08678,30.6542,18
104.10656,30.65459,27
104.10323,30.66904,16
104.04276,30.66516,9
104.06974,30.6536,37
104.07174,30.65383,30
104.0435,30.72306,6
104.04243,30.66532,9
104.12955,30.6591,26
104.04296,30.70395,0
104.07213,30.65379,30
104.0975,30.65433,48
104.11901,30.65499,59
104.10658,30.65458,27
104.11186,30.66708,33
104.09504,30.6613,35
104.07533,30.72731,19
104.12872,30.71544,34
104.0474,30.72769,21
104.0732,30.65487,2
104.11479,30.65503,1
104.0879,30.6541,42
104.05264,30.6532,56
104.0423,30.65852,32
104.11484,30.65486,1
104.11479,30.65485,1
104.04256,30.66526,9
104.04279,30.69289,29
104.06063,30.65891,11
104.04511,30.70158,41
104.06032,30.6535,24
104.11485,30.65527,1
104.0753,30.65378,31
104.11479,30.65506,1
104.04279,30.69288,29
104.04275,30.68608,44
104.04229,30.65852,32
104.05515,30.69454,81
104.08789,30.65409,42
104.12922,30.65895,26
104.10308,30.6704,16
104.04298,30.69301,29
104.04265,30.68463,3
104.0755,30.65379,31
104.06593,30.65356,22
104.06068,30.65642,11
104.08703,30.65408,18
104.06063,30.65878,11
104.07536,30.65375,31
104.11193,30.66693,33
104.09879,30.65449,23
104.10461,30.65457,65
104.04311,30.71046,7
104.05714,30.6731,25
104.11479,30.65484,1
104.08696,30.65411,18
104.04261,30.67835,57
104.06222,30.72737,20
104.07204,30.65367,30
104.07328,30.68618,70
104.04332,30.69322,29
104.043,30.6928,29
104.07533,30.72732,19
104.10278,30.66891,16
104.11189,30.66702,33
104.08791,30.65411,42
104.04294,30.69293,29
104.07862,30.65809,45
104.11479,30.65511,1
104.04277,30.69281,29
104.08737,30.67745,66
104.07537,30.65375,31
104.0435,30.72307,6
104.07986,30.65455,17
104.11479,30.6551,1
104.12892,30.71538,34
104.04283,30.69286,29
104.04374,30.72325,6
104.12907,30.70666,28
104.1293,30.65899,26
104.08792,30.65414,42
104.12948,30.6687,43
104.07532,30.72705,19
104.04231,30.66538,9
104.07855,30.65813,45
104.09735,30.67452,15
104.10857,30.72675,12
104.07203,30.65366,30
104.05722,30.67298,25
104.0806,30.65572,17
104.05259,30.65313,56
104.05504,30.69453,81
104.05613,30.66364,51
104.12956,30.65911,26
104.08708,30.65406,18
104.04752,30.7276,21
104.10852,30.72662,12
104.06063,30.65881,11
104.04335,30.72295,6
104.05752,30.67284,25
104.06965,30.6536,37
104.06593,30.65357,22
104.08106,30.65638,17
104.06592,30.65367,22
104.04232,30.65522,4
104.11911,30.65503,59
104.04271,30.68455,3
104.09878,30.65447,23
104.07203,30.65365,30
104.04245,30.6652,9
104.10856,30.72672,12
104.04257,30.67828,57
104.11479,30.6555,1
104.06021,30.65332,24
104.11479,30.65484,1
104.04337,30.72297,6
104.07362,30.65467,2
104.04259,30.67832,57
104.12907,30.65523,78
104.05261,30.65316,56
104.07203,30.65366,30
104.11247,30.66709,33
104.06593,30.65351,22
104.06973,30.6537,37
104.1266,30.65525,38
104.12932,30.68321,50
104.0434,30.72323,6
104.04336,30.67975,57
104.08225,30.65393,67
104.06153,30.65376,40
104.09876,30.65444,23
104.09876,30.65444,23
104.12888,30.71539,34
104.04289,30.69711,75
104.09771,30.67384,15
104.04256,30.67827,57
104.04277,30.6753,5
104.04267,30.68461,3
104.06039,30.65829,11
104.05261,30.65315,56
104.12911,30.7216,52
104.09876,30.65443,23
104.07531,30.72668,19
104.0424,30.66534,9
104.04326,30.70353,0
104.0603,30.65346,24
104.12926,30.68315,50
104.04272,30.68454,3
104.05632,30.66309,51
104.08704,30.65408,18
104.12914,30.71532,34
104.11479,30.65516,1
104.04325,30.65836,32
104.07318,30.69471,55
104.0434,30.72323,6
104.07539,30.65374,31
104.06979,30.65379,37
104.10642,30.65465,27
104.06593,30.65355,22
104.10859,30.72679,12
104.08205,30.65405,67
104.12944,30.66868,43
104.11484,30.65493,1
104.04332,30.71615,36
104.08007,30.65797,39
104.04298,30.69286,29
104.09737,30.67449,15
104.06658,30.71246,13
104.11479,30.65499,1
104.05273,30.65332,56
104.07277,30.69471,55
104.06975,30.65362,37
104.04269,30.68458,3
104.0435,30.72307,6
104.12922,30.67037,8
104.06181,30.65339,40
104.12924,30.66858,43
104.04358,30.72313,6
104.06592,30.65362,22
104.04265,30.68462,3
104.12946,30.66869,43
104.09894,30.65474,23
104.0425,30.65849,32
104.06066,30.65771,11
104.09871,30.65436,23
104.1032,30.67011,16
104.07444,30.65468,31
104.11431,30.7111,76
104.06973,30.65359,37
104.04332,30.72317,6
104.05137,30.66388,10
104.0798,30.65448,17
104.043,30.69297,29
104.0431,30.70378,0
104.11484,30.65487,1
104.07532,30.72706,19
104.06066,30.65791,11
104.0787,30.65797,45
104.06055,30.65912,11
104.12882,30.70658,28
104.08236,30.65411,67
104.04456,30.70179,41
104.062,30.72305,61
104.04236,30.66536,9
104.04344,30.72302,6
104.04248,30.67544,5
104.1266,30.65513,38
104.06964,30.65359,37
104.12927,30.6686,43
104.0754,30.65374,31
104.05463,30.69488,81
104.06592,30.65379,22
104.06981,30.65369,37
104.04262,30.67537,5
104.087,30.6541,18
104.07533,30.72723,19
104.11479,30.65521,1
104.07325,30.69404,55
104.12906,30.70665,28
104.04753,30.72772,21
104.06976,30.65375,37
104.07271,30.65499,2
104.10659,30.65458,27
104.07532,30.72704,19
104.07305,30.65494,2
104.06575,30.65364,22
104.06064,30.65864,11
104.04253,30.67823,57
104.10657,30.65458,27
104.04257,30.66514,9
104.04268,30.6652,9
104.05848,30.72739,58
104.04269,30.67849,57
104.08141,30.65689,17
104.0429,30.6929,29
104.11487,30.65646,1
104.07559,30.68512,72
104.09737,30.67449,15
104.06988,30.65391,37
104.09748,30.65434,48
104.06067,30.65748,11
104.08001,30.65485,17
104.09736,30.67451,15
104.06966,30.65361,37
104.06593,30.65356,22
104.11479,30.65485,1
104.05789,30.67269,25
104.04249,30.67544,5
104.07911,30.65777,39
104.12025,30.66793,54
104.04334,30.72318,6
