聚类编号,平均经度,平均纬度,类别,名称,聚类点数
0,104.0441,30.703434,餐饮美食,协茂森老钟家·成都名小吃,1265
0,104.0441,30.703434,餐饮美食,pizzahut,1265
0,104.0441,30.703434,购物消费,G-SHOCK,1265
0,104.0441,30.703434,购物消费,苹果授权经销商,1265
0,104.0441,30.703434,餐饮美食,万岁寿司,1265
0,104.0441,30.703434,休闲娱乐,酷贝熊益智乐园,1265
0,104.0441,30.703434,购物消费,Hello Rose,1265
0,104.0441,30.703434,购物消费,卓多姿,1265
0,104.0441,30.703434,购物消费,萌神驾到,1265
0,104.0441,30.703434,休闲娱乐,星聚汇,1265
0,104.0441,30.703434,购物消费,Keyrood,1265
0,104.0441,30.703434,餐饮美食,丸摩堂鲜果茶,1265
0,104.0441,30.703434,购物消费,色非,1265
0,104.0441,30.703434,餐饮美食,面包新语,1265
0,104.0441,30.703434,购物消费,mIomI,1265
0,104.0441,30.703434,购物消费,拙列,1265
0,104.0441,30.703434,休闲娱乐,泡泡云小镇,1265
0,104.0441,30.703434,生活服务,凯德广场VIP会员中心,1265
0,104.0441,30.703434,购物消费,萌酷宝学习桌椅,1265
0,104.0441,30.703434,餐饮美食,月满大江,1265
0,104.0441,30.703434,购物消费,LEGO,1265
0,104.0441,30.703434,购物消费,ECCO成都金牛凯德专营店,1265
0,104.0441,30.703434,购物消费,毛戈平,1265
0,104.0441,30.703434,餐饮美食,逗豆居玉米站,1265
0,104.0441,30.703434,购物消费,迪赛,1265
0,104.0441,30.703434,购物消费,MAP,1265
0,104.0441,30.703434,购物消费,KISSCAT,1265
0,104.0441,30.703434,餐饮美食,鲜芋仙,1265
0,104.0441,30.703434,餐饮美食,大通冰室,1265
0,104.0441,30.703434,生活服务,普格菲摄像馆,1265
0,104.0441,30.703434,购物消费,蹀愫,1265
0,104.0441,30.703434,购物消费,Timberland,1265
0,104.0441,30.703434,购物消费,爱回收,1265
0,104.0441,30.703434,购物消费,2平米智慧学习桌,1265
0,104.0441,30.703434,购物消费,Clarks,1265
0,104.0441,30.703434,购物消费,MOKOO,1265
0,104.0441,30.703434,餐饮美食,奈雪的茶,1265
0,104.0441,30.703434,休闲娱乐,童创部落童文化主题乐园,1265
0,104.0441,30.703434,餐饮美食,Starbucks,1265
0,104.0441,30.703434,购物消费,杰克琼斯,1265
0,104.0441,30.703434,购物消费,oce,1265
0,104.0441,30.703434,生活服务,女洗手间,1265
0,104.0441,30.703434,餐饮美食,海底捞火锅,1265
0,104.0441,30.703434,购物消费,KH Design,1265
0,104.0441,30.703434,生活服务,爱伽瑜伽美容,1265
0,104.0441,30.703434,购物消费,NAYUKI,1265
0,104.0441,30.703434,购物消费,杰尼亚.高,1265
0,104.0441,30.703434,生活服务,首嘉产后恢复中心,1265
0,104.0441,30.703434,购物消费,阿吉豆,1265
0,104.0441,30.703434,购物消费,TARANIS,1265
0,104.0441,30.703434,购物消费,战狼世家男装,1265
0,104.0441,30.703434,购物消费,jnby by JNBY,1265
0,104.0441,30.703434,餐饮美食,绿茶餐厅,1265
0,104.0441,30.703434,餐饮美食,袁记云饺,1265
0,104.0441,30.703434,购物消费,微奢零度,1265
0,104.0441,30.703434,购物消费,然本,1265
0,104.0441,30.703434,购物消费,派克,1265
0,104.0441,30.703434,购物消费,Tata,1265
0,104.0441,30.703434,购物消费,Charles&keith,1265
0,104.0441,30.703434,购物消费,tutu anna,1265
0,104.0441,30.703434,购物消费,茶愫专柜,1265
0,104.0441,30.703434,生活服务,女洗手间,1265
0,104.0441,30.703434,购物消费,哪趣,1265
0,104.0441,30.703434,购物消费,LANEIGE,1265
0,104.0441,30.703434,餐饮美食,赤目章鱼烧,1265
0,104.0441,30.703434,购物消费,欧舒丹,1265
0,104.0441,30.703434,餐饮美食,一只酸奶牛,1265
0,104.0441,30.703434,餐饮美食,争鲜回转寿司,1265
0,104.0441,30.703434,购物消费,Calvin Klein Jeans,1265
0,104.0441,30.703434,餐饮美食,巴黎甜甜生日蛋糕,1265
0,104.0441,30.703434,生活服务,女洗手间,1265
0,104.0441,30.703434,购物消费,凯斯维尔宠物会馆,1265
0,104.0441,30.703434,生活服务,飞凡,1265
0,104.0441,30.703434,购物消费,MAKE UP FOR EVER,1265
0,104.0441,30.703434,购物消费,凯德老庙黄,1265
0,104.0441,30.703434,购物消费,斐乐童装专柜,1265
0,104.0441,30.703434,购物消费,WHAZZUP,1265
0,104.0441,30.703434,餐饮美食,Jimmy’s Table機米的餐桌,1265
0,104.0441,30.703434,购物消费,可可奈专柜,1265
0,104.0441,30.703434,餐饮美食,书亦烧仙草店,1265
0,104.0441,30.703434,购物消费,凯德广场,1265
0,104.0441,30.703434,购物消费,d'zzit,1265
0,104.0441,30.703434,购物消费,明治,1265
0,104.0441,30.703434,餐饮美食,都可以盘盘麻辣烫店,1265
0,104.0441,30.703434,购物消费,GMS vision,1265
0,104.0441,30.703434,购物消费,MAXRIENY,1265
0,104.0441,30.703434,购物消费,La pagayo,1265
0,104.0441,30.703434,购物消费,五谷磨房,1265
0,104.0441,30.703434,购物消费,SEIFINI,1265
0,104.0441,30.703434,购物消费,树夏,1265
0,104.0441,30.703434,餐饮美食,自留田西北菜,1265
0,104.0441,30.703434,生活服务,早点洗洗衣洗鞋生活馆,1265
0,104.0441,30.703434,生活服务,女洗手间,1265
0,104.0441,30.703434,购物消费,LACOSTE,1265
0,104.0441,30.703434,购物消费,Kappa,1265
0,104.0441,30.703434,购物消费,久岁伴儿童内衣,1265
0,104.0441,30.703434,购物消费,NB Kids,1265
0,104.0441,30.703434,购物消费,AdidasMega,1265
0,104.0441,30.703434,生活服务,THE COLORIST调色师,1265
0,104.0441,30.703434,购物消费,周大福,1265
0,104.0441,30.703434,餐饮美食,正禾鲜潮汕牛肉火锅,1265
0,104.0441,30.703434,购物消费,一丿一乀,1265
0,104.0441,30.703434,购物消费,SELECTED,1265
0,104.0441,30.703434,购物消费,ROG玩家国度旗舰店,1265
0,104.0441,30.703434,生活服务,男洗手间,1265
0,104.0441,30.703434,购物消费,慕托丽专柜,1265
0,104.0441,30.703434,购物消费,博士眼镜,1265
0,104.0441,30.703434,购物消费,安德玛,1265
0,104.0441,30.703434,购物消费,玛克茜妮,1265
0,104.0441,30.703434,旅游景点,祗园精舍,1265
0,104.0441,30.703434,购物消费,李宁,1265
0,104.0441,30.703434,餐饮美食,日之屋炭火烤肉,1265
0,104.0441,30.703434,购物消费,Kappa Kids,1265
0,104.0441,30.703434,休闲娱乐,大熊卡丁车,1265
0,104.0441,30.703434,购物消费,凯德广场金牛Zippo专营店,1265
0,104.0441,30.703434,餐饮美食,老佛爷铜炉蛙锅,1265
0,104.0441,30.703434,购物消费,LULUALWAYS,1265
0,104.0441,30.703434,购物消费,三月蚕市,1265
0,104.0441,30.703434,购物消费,奥特乐,1265
0,104.0441,30.703434,购物消费,欧珀莱,1265
0,104.0441,30.703434,购物消费,adidas neo,1265
0,104.0441,30.703434,餐饮美食,食其家,1265
0,104.0441,30.703434,餐饮美食,九锅一堂·重庆菜,1265
0,104.0441,30.703434,餐饮美食,黄记煌三汁焖锅,1265
0,104.0441,30.703434,购物消费,好孩子星站,1265
0,104.0441,30.703434,餐饮美食,徐锦记冒菜,1265
0,104.0441,30.703434,购物消费,完美日记,1265
0,104.0441,30.703434,购物消费,酷乐潮玩,1265
0,104.0441,30.703434,酒店住宿,成都熊锦堡青年旅馆,1265
0,104.0441,30.703434,购物消费,耐克,1265
0,104.0441,30.703434,生活服务,海马体摄像馆,1265
0,104.0441,30.703434,购物消费,任天堂switch,1265
0,104.0441,30.703434,购物消费,荣耀授权生活体验店,1265
0,104.0441,30.703434,购物消费,刻赤,1265
0,104.0441,30.703434,餐饮美食,满记甜品,1265
0,104.0441,30.703434,购物消费,Riot LILY,1265
0,104.0441,30.703434,购物消费,棉莎世家,1265
0,104.0441,30.703434,餐饮美食,蛋烘糕,1265
0,104.0441,30.703434,餐饮美食,BURANO布拉诺西餐,1265
0,104.0441,30.703434,购物消费,DAZZLE,1265
0,104.0441,30.703434,购物消费,emu,1265
0,104.0441,30.703434,餐饮美食,李与白包子铺,1265
0,104.0441,30.703434,购物消费,jessyline,1265
0,104.0441,30.703434,生活服务,公厕,1265
0,104.0441,30.703434,购物消费,KKV,1265
0,104.0441,30.703434,购物消费,雪加灯市,1265
0,104.0441,30.703434,购物消费,妍丽,1265
0,104.0441,30.703434,购物消费,爱慕交大店,1265
0,104.0441,30.703434,购物消费,安踏儿童,1265
