名称,大类,中类,经度,纬度,省份,城市,区域
《茶芋畈逅》奶茶研究所,餐饮美食,蛋糕甜品店,104.073749,30.655882,四川省,成都市,锦江区
0991新疆特色烧烤主题餐馆,餐饮美食,中国菜,104.094479,30.658657,四川省,成都市,成华区
1/3·Life 咖啡厅,餐饮美食,咖啡,104.069149,30.686479,四川省,成都市,金牛区
1/4coffee,餐饮美食,蛋糕甜品店,104.044688,30.692571,四川省,成都市,金牛区
1031私房菜馆,餐饮美食,中国菜,104.054088,30.667618,四川省,成都市,青羊区
107厂小郡肝串串香,餐饮美食,中国菜,104.107204,30.670529,四川省,成都市,成华区
10号院落,餐饮美食,中国菜,104.067656,30.684071,四川省,成都市,金牛区
10元快炒联盟,餐饮美食,小吃快餐,104.069651,30.698615,四川省,成都市,金牛区
1314一杯会说话的茶,餐饮美食,蛋糕甜品店,104.065435,30.707977,四川省,成都市,金牛区
15号龙虾馆,餐饮美食,中国菜,104.090062,30.693477,四川省,成都市,金牛区
1663陕西会馆,餐饮美食,中国菜,104.061489,30.654779,四川省,成都市,青羊区
168茶馆,餐饮美食,茶座,104.048638,30.707682,四川省,成都市,金牛区
168汤包,餐饮美食,其他,104.07671,30.660291,四川省,成都市,锦江区
1698永兴快餐,餐饮美食,小吃快餐,104.112797,30.678028,四川省,成都市,成华区
1796 COFFEE,餐饮美食,咖啡,104.057107,30.695875,四川省,成都市,金牛区
1802名庄汇餐馆,餐饮美食,其他,104.057914,30.661588,四川省,成都市,青羊区
1831土豆unlce,餐饮美食,其他,104.088836,30.684898,四川省,成都市,金牛区
1958咖啡,餐饮美食,咖啡,104.085781,30.659459,四川省,成都市,锦江区
1984重庆火锅冒菜,餐饮美食,中国菜,104.09742,30.654091,四川省,成都市,成华区
19号谷仓手工吐司,餐饮美食,蛋糕甜品店,104.045964,30.667165,四川省,成都市,金牛区
1st Chicken韩式炸鸡店,餐饮美食,小吃快餐,104.107859,30.677865,四川省,成都市,成华区
1点点,餐饮美食,蛋糕甜品店,104.076664,30.65405,四川省,成都市,锦江区
1点点,餐饮美食,蛋糕甜品店,104.073925,30.654823,四川省,成都市,锦江区
1点点,餐饮美食,蛋糕甜品店,104.079255,30.6549,四川省,成都市,锦江区
1点点,餐饮美食,蛋糕甜品店,104.065461,30.656839,四川省,成都市,青羊区
1点点,餐饮美食,蛋糕甜品店,104.084298,30.660385,四川省,成都市,锦江区
1点点,餐饮美食,蛋糕甜品店,104.073859,30.662581,四川省,成都市,青羊区
1点点,餐饮美食,蛋糕甜品店,104.046242,30.664451,四川省,成都市,金牛区
1点点,餐饮美食,其他,104.126759,30.666469,四川省,成都市,成华区
1点点,餐饮美食,蛋糕甜品店,104.102041,30.671174,四川省,成都市,成华区
1点点,餐饮美食,蛋糕甜品店,104.057804,30.672183,四川省,成都市,青羊区
1点点,餐饮美食,蛋糕甜品店,104.05778,30.672289,四川省,成都市,青羊区
1点点,餐饮美食,蛋糕甜品店,104.109345,30.674516,四川省,成都市,成华区
1点点,餐饮美食,蛋糕甜品店,104.095008,30.678142,四川省,成都市,成华区
1点点,餐饮美食,蛋糕甜品店,104.075106,30.687455,四川省,成都市,金牛区
1点点,餐饮美食,其他,104.096093,30.700453,四川省,成都市,成华区
1点点,餐饮美食,蛋糕甜品店,104.045154,30.701518,四川省,成都市,金牛区
1点点,餐饮美食,蛋糕甜品店,104.096472,30.704216,四川省,成都市,成华区
1点点,餐饮美食,蛋糕甜品店,104.065699,30.709927,四川省,成都市,金牛区
